TICKET_NUMBER,TICKET_CREATE_DTTM,TICKET_CREATED_BY,TICKET_TYPE,SAP_CODE,SAP_NAME,REQUESTED_BY,COUNTRY,BL_CD,SERVICE_TYPE,SUBJECT,CALLBACK_DATE,CALLBACK_TIME,REFERENCE_TICKET_NUMBER,REQUEST_MISSING_DOC_DATE,APPROVING_STATUS,APPROVING_DATE,SAP_CREATED_DATE,STAGE,STATUS,TICKET_CLOSED_BY,TICKET_CLOSED_CODE,TICKET_CLOSED_NOTE,TICKET_CLOSED_DTTM
MATE---2025---000013,2025-03-29 14:37:04,GATES,Material,,TrpdVeojdWvTtChrKhHbgIxwNZoyAKoyuxjNwUKvIBZFgtIogoTIkWGIpKdfQhdBFMhEAwvQMqwVLktzwNyLinOGZbXCeOiMnwzs,kqOAnCcxeNoJdyDfCbwZRsadPaghJShGouYFRbmmmUoBWGEuCjewOoEmrfuYQZcOHOWUbPvgDNkkaXNTrAsDpEEyEZFBrUSvjYQV,DJ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-17 09:32:51,GATES,Material,,buCwshEAkvvejzjGGiUltUkrCsMaTXCBFlaZEebOJpPOJdDLhaSEYfrOJJFBMBMjcYmApZvANHQyGzmdzYHxPttsolOIRZwwWrqJ,KAsZYhQuytCvSyKKfVWjgEzcoBMWkukeanxiSSRjIwsOVvvSCqAnxzLxuGuTzwMJRUzJNsjuPAtTZhrKITKGPBcxrVpLUSPQRnCq,UR,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-09 05:57:34,GATES,Material,,uOULRwRfEumMDjohLzcDvGyuSpWxpYrAwWQbFOgAsPkvbyijGAhmBYlwlOWbLhAyHNZrOfiZmHCRyXLQTeFbkhyTgHmUlyLuwSpb,OUpXPENcsGDSbVwfXWSIcmtjwRMmVTPWRHiCVYtxQuWTiYSkfLbWqYyyGAzMAtqghApUwtEWJNJHBMYzPgwHYlkiDSHDaAORdbsJ,HR,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-12-03 02:51:10,GATES,Material,,TEQkVOkKfIsCqifDfDFDJvSHkmAJHaqFfALMzFnBlxxPydNpqaWwIciifwHOCnfUnDyOcLcANDKQWsmdKebWivdsPShHCHsuXBsF,vZgxHCuIHlAvFefJvbxrhsnqkupDEIFiSROValQalWHdFpggjGvqjDbuSZyhJfeasWfPMwjFbITnaiCOcDyIfEENXKrBfZJHhNtz,XZ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000008,2025-12-18 07:56:42,GATES,Material,,sfg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-12-06 23:13:46,GATES,Material,,yPXxFdTPLzKzJhtRPJCjvwUYfzIaHwtrXovvFhCvWRwzfhVIVFJsgZLRmYZDuOgNKxvonEoOMGufKUEDdvGwBmInjPYjBGWaPVSk,ISUyvTXEevkYMdaFISEiQlsFhrzYbBQVTcQIVtOftoCnLILjMdWjetbKOcOhZWvCWialaomDbuhlttfxxKyRVCwUWjlkgwNsoIaS,FG,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-10 04:29:35,GATES,Material,,CtJfYvfLWLaMinugWexphefsSrZYQlHktLWBtVUakwuytdDfaRFPvDtABnvwchirQdoltKjgRuGeDVmVBclOhNJKTRdHnefZfhuL,NKNTfNJBniKFMakMSQRtOTZnDXoVUsMmyNRblmOoFXjlMQmhExbsyflsGQTGPOuExVuWEGpOaGJVaDbWlhYURMvqgqhmSocvyfMi,XF,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000012,2025-12-18 08:16:44,GATES,Material,,dfghf,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000001,2025-12-18 07:21:12,GATES,Material,,sdfg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-06-29 05:44:50,GATES,Material,,oCBVQsYJduAFsGyPcobprerfezkesNGrUPTXgByvaYRSUQrsZHgdtuVFbXEWvaKezxgYXhpuJEwrDejkfTwHMClFKpVIXBxSliqx,YAhRnnpyqSppjRlSBeNnbvCKgToVxTqvVmVpFPxDcRCZJZFziBFwvXKsWSoeLSgznzSkVnbzejEZssZZDsheNVdbogYIgAjTVJNR,NR,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-27 02:25:31,GATES,Material,,UOJovqrCTfAGmueOZlJuJPZvDOTSGwmOywwZXGzzVleIXEcqfPjtQWbKPKTCSHZKNXgrgKIYTkojuGANukgxLfyBfwIsgYlOefWZ,fNLnPnjPFTVVYJvaoAvhBiBDYbVWrzGrnqzeiyVyoboPZwKuhPMMxznQmQsedlJkitJzGKWlaberUXhhEXPxBDQnonXMkumbxpPs,NK,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-12-17 16:43:14,GATES,Material,,xcFGqwFqYfeVtjRMIThxqsiopFCHxvmxYIbnswojIZBwuqtmgdrNNlSOuHkAyEDOMKCNpWDfpsbhlyAPMZilMhAoPslurrTnmCfB,fZzzcVjVMYNfHoYkpfssUhsYgCLBuecmQnITsXDhfZQUPbODCcIkJGZAIEcetMpdoTSfydUXJONFJHlnyBGIMrQnHygsKehRmvho,HD,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-02 02:22:20,GATES,Material,,BLPsdscgUNlFMkSINPeHVGYJdycezaovHbstrDftHIjegtnOTPgMhyaRKloNOLCBvOUbrZCZoiwXIwQEcvkCsMNPsIMPQaHTfImb,NWmiPmeSbRKEDDuyuccWwmSuHnmtfrLgROceCvRndmrrpVjCgtxIQlgVxlQPUxUcWNtsDTyuOlEuDYxfHLPncbVhkLgxCyDGWAKz,SD,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-17 13:39:21,GATES,Material,,dzlbcilwTycTkPVhVhWNHdSgVvplvtJOCQslojlFZqXsXMfeMzihgCWdwlCnKeanjbiPfRrkSxajbSWFpcamskZTiEtAWGmUZpKF,BAxUbaAtgDZZeCaiHziyqoHZhIZOTxPxkvOrsrgSDxktIBxlzJjFQmWvUjDLPjvZYUYkuEqKbgZHmCNgHCwNsAJGKxJbFsbCMcja,MJ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-01-15 00:29:37,GATES,Material,,NQPsFHpPBVlSqOFqcNUescLnzwcDShpPGaMBspUHVvbxPuwMzfBnGZVwoXLsAFTzcKJetSUELXGEtCZtGqbKWhMQFcQXDZDyBFaG,RICdpYWBfhNCGfcXKmbZHifPpqQDPXolRktUpAAELIQwAGyqvGHhWLFnJkDLORUEykhLqOYUtihqNcdEJNBBfzXcoCKDYlRugvBX,NA,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-05-23 08:47:51,GATES,Material,,MwJuesdNsMxiWufLIqzyrdQxYvglmopvvYjxNjwDMwnDCPYlaxWeOsZqHgjpGhSAAjgpwQRUcCgpeQTwUGLjkGwQkjjzTOfLLEnU,XEueLgnVRQBxAiwRsDevcNAyLCkAIbUiJCFcthZbolwuoyerrypZIEryMIXIfbTHSEWXBwbKbrSoxdTMQcVJenLEhoszuMQUZuTC,TU,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-13 03:15:10,GATES,Material,,ULelmChTaCOpLPepbvXpfVOoJbGOuBzEPgQhxRQsEoqPGmxxyQlSxYqoZUuXkdZxQchBPqZhbNdvutEDGUGaesQSaWQRLofGGDhs,dIanCGnbYDBKYIojgOWOdYaSYaQfTypTJpTUtPezfYyGSqKkbFxpjBSrFBdcKTKzyaEaOKGRXleNBycLsUOJwOtaXZmzWyGuBIwl,NA,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-28 09:20:56,GATES,Material,,gDSMkVcEtlmXlPMThuUbOxWJPPszvVcEvmZmLKcTQzOmbetCTuZXKvPgNVmBzmqFudbUGmxCkOGvNzDUPyIXAYpXWLZzBumFtvbh,AcVRpghLRJZsKgTVfluhBZMIekeiHDNACYzJmUPKYHWGwUlIqXTgiqsnGUYcFUWLdJrqrzpkeVCmGNBaeNIhNvrgREZsClGaifZN,RI,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000006,2025-12-18 07:40:43,GATES,Material,,dfg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000003,2025-12-18 07:21:53,GATES,Material,,sdfgsdf,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-11 10:31:20,GATES,Material,,nimCglcfAKeBtbWKcAQpEqTqEqhoqRASQrVCpBmbmMlTzOiifuyxqUhkwIdycXqcUQUwRNmRcKsuPVgkVAizxKvsWPxJdDePunAv,KUPbuLLcHhcdkBUPZmQLWcRthZpLQtvNJvzbFZWVGpzQcGkKPQWzCdahzktycbbJkQyrHGjBvluOjBRLzBvqtayTqXkpxxuChLzN,YB,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-12-16 16:17:10,GATES,Material,,TThxYrLjsvXiwVwnNRdzyKIRHOuQhQRpYnkMAwDuDjCiPBqirAFoXpwrTTNFzDaRUloHgilpysFumZvAMzLdkCkWLAXIwmCOgrwY,fCINWLguxLRrCjyTFlPiYrLRuqnmEdLbNfFcarHEinWUeyOYNkehUziTZumchZjSyVuXDcigUNPiYmMIeQJQXkLPmqIbXcyTVmNy,ZJ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000009,2025-12-18 08:00:20,GATES,Material,,dfghfg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-07-17 09:35:17,GATES,Material,,pKkYckUoGaOzdPnjLtMbAOlMGparQCHGuuQZqJzhaKzXASBIMmNQtoGjPEdhdZiHBneHkvnrjIfQzJqTiiXIiiIkPDCyiQEmvGLc,gIHgWxESCPxQYQsWpeVIsJEObrxGeFCsACyyqEiGMAFKqQIQdgChMlyKmDdanJPddiRRyCnzelfoxpxEKgotuxUIkTdGEWTJffBS,PJ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-19 05:57:37,GATES,Material,,zjBYbHTRUnrFiHPINuyflbhpiuvwvAZyKgdstDrpRQZgstnzUnfAERNGwQLyBMNnSQZVacnWiavszeoFGiGFWGqueUbWfDNeIKsO,mWJYIAEiPKgYJGPcKHgubtuBzWxcCrsRALvuPWTDjXrkBhLZDrQOOwqeKBJxOLADHohxweoUkxlVEGQCOnUATUKeNtrYSPJKJknZ,LI,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-08-18 16:56:06,GATES,Material,,smJwNTZbVAZiUeoSZNfLELVqjcyciGwygPBaorDnWmfjJBvgzlTodAEzBmtCVzwdhUIeTNLgiSvtsKmjbFnhsabVTVbPsSAypzrn,lltcZoriMQGpMJRvLeeBjAVZMXIjkzsnERhjGJbrhWpQJHBECzFpEzkrZQrxsflEGGwYNIFgsvvqrYtyHyWytjVHOjleKoeTYWal,WL,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-12-12 17:00:19,GATES,Material,,pwjHKPFsRFEenxUudQIOwiPQWAKWZYEvxKGxxcaaCswGeYeieKofPRjBaDLdRvBkpckjTnKjlXgBcjXLTZfNMWKChKGHEizEJWVN,LhzsgwFEgbnGGFwbVKonOLehhYQKHEIhdfjRtKinjMfgiqrTboBkgxaJMVdikySJPpLEXLHAAzyzRokxMzqeeynXkAwjEMpCfAnO,GC,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-07-11 05:20:18,GATES,Material,,koblvOGwywQLnHXqxOuKabnwZfiiEXLIkwgAOPqhrCbqBouhkheHqwsSwmKLqFaobQRxWOfHKFQoYqaGGfnBwgJufpssrudYdBUV,EAQETIZzPrZIDiqTsFOdGMSOqWQZSubfTbxYTXNGxTBgRRiOVoOedOmtSiehsdaCWiFKPdTWYhNosgIhdDRbFxPGjZdYuqGZxIfR,ES,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-09-08 10:14:17,GATES,Material,,tFTDfGVRhXvbzCwfWhqoqBiOtRWVFRlEVCIlQGtUPdVWotfWFLDkfGpnVyGoWqbblUpvvAqvcvbqOGBvHLpRppUwOyAsJJzOwTwZ,ZKVVNfNdKlyWDqxLODKEWMZpIwENlBTBqlcNBxjpqrymuwIuTXeyTxtszMvgQAAkPqVhMFhKtuYlObIJeRWqHKmSCzzLvqPSJurc,AS,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-08 03:34:19,GATES,Material,,EjfdbQibrDYHbCGEoaLWhyPzyMzxPzASlNJWxIJfBhjwdWvMmyObyaKbbBZqEOgJLXqpzUGocyTZdTNtFIVAcaVOlRJNjCfadGqS,UFneIHWMYNIDpiZjhLZmtKQXDweSGVFQtzoMJRjRazNDFqVaVXPoKvXfGldzZhcmALqnBrsoaTvIMKvtPVrQTYCzQQQwqZSCcZst,VV,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-15 04:48:38,GATES,Material,,sLajFApTNmCgEZxCwNaaRvliAOEGfRSPhppdfBGtKvkICDJrdkyjVwCtosiXwhwFTMqqqcHiQqAEbqjUhVdWJTImUMkgecmkBhDH,MrkicbEpYKPGBSNLtLoEZTMmlZKCNCHnwgteqWoGwwOuAxmLBDRpHmXVFTMpPSAmaoyKYClsylpmaNCNrBnWzhrcYYHEERRqXfQs,FP,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000002,2025-12-18 07:21:49,GATES,Material,,sdfg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000010,2025-12-18 08:01:35,GATES,Material,,fg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000007,2025-12-18 07:41:18,GATES,Material,,sdfg,,,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-01-18 04:08:52,GATES,Material,,UCUcKajEwvyJjwsiVrfURXdmpvZRhLBQNCUmfXFsYzHaOuMqUmYWSkHkkmhuXNzpvAfYRUEQxXeABHTCWprAwqENgHkBmLzCxkXa,bjjTVBKOmYrpIJvTurljvHJdLTItJUxMdekhYxHBKkJcBhtNetbPcrFPimnholXUkhpMNCxMfLeLVagmZTUqgnoiWWikqPxANTJb,WA,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-28 08:36:19,GATES,Material,,vCWQaNnICnZtjMzesxknjXbjbfDmUpIsDqmzNVynVNegUwVWQaStZAuaBoMVOEAJMZgXiIwcaDlEKyqjfpoEcOzsHGLzCXgpwfEN,cITBVwBanSgrNoGkfPPFvJNTiFfFREKPmJjHwEcNFfybIEHGSdNpInZbSczcAfPQOmYbPSbQcYWKkyLADqSRTnxuenRfnPUDUMci,IX,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-11 09:28:55,GATES,Material,,yluYhHuejHINiUqNufTPbolSDoiDAlzMoldfUojjLrLeVvePCQLhshgVNbWKDDyyxAeANeNgAtuLexJCsXzYhFMDWmBGotbPfPBe,QMZsbQAFQmcsThbpRgzqFmTLesjPBRBzioRZMgazenXPBSlitoctqxXKcBeWiAiTNNkXEXEVbCtktnCKGGEgDXMedHOHJcDwsfyg,KL,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-01-30 12:22:56,GATES,Material,,OGruGWZaXFblHzaZYGcCwrKklTzgBcIYSIqdlKKsQQnHWAFczZaOqrYscFgJIRWeSRZalFTWofcZdveQPOAmYRxGPZHzyjHUNrmy,RmkAPaObviZGpoGXPhCDHPNPRfCgRnvntuINftBYCwubEWKkVDZQRwuxAlqnOpoFbgKFzezStNYQbmMQlYexiEWIXFSpZWhJBivn,KN,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-07 21:38:12,GATES,Material,,ntHxDxxrRvMSvSHoRGKfkrahqgqLVWHMvtHFmoPjZUUQjbWJiRkXHSVVubTpyeKFBPYHORkDnYoLrSOuuJnldqPgHJFnsmbaSRPZ,ZQFirFmoDxxHgQccHNywjrFEwdXnIzYCVMcXrPkMMTlKVbQDxHnMIynxCFzbOwPIXxwmtdSVvZQiALOLWJTjwPHHXhsRKtHhrPAu,OX,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-08-17 23:07:35,GATES,Material,,SfpyPDZmKHExaEtNrYyhcAXQJJcHYipGGxKhqjfzNTzdDzfuwcfaYiQNXUwCzHIOReupeklFjQIBNyRsfQAurXrCrqyCBMGJQnuH,nVTguzMNnttrCwyFswLxQogYDYUQwivyOlkbjnefIvmXfQTtvZPNXvWnnDcoNeaiSbhLdYszJLjWQzABorXuUKIEsNHxKSwgXjUY,YA,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-08-29 15:36:06,GATES,Material,,KuRLfvWbdUjqbaqLXyoumRmhHljdBNZOVmuLuhRezXFMZXrUOWWfCkWEEIuZZZFmPnfvYNZrHnUUvLvRJAsGBNtUlDzlQEYuOdNF,zVuyjcyryKgoIEixVuhMMSsiiVXCNQwtTcQMFeZBIjgQuWLpiEMoeeVmqmMrbojHZivFCLKFBeUYcmsrdiPjUxxvTsddJMUNHapc,KD,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-08-13 06:48:13,GATES,Material,,IWKiconfDgTQonJNBRBJnWoPqzCLKmIyTWEYsNaDQjiIpwaugEAXAoZAgXpQokOOelXVyiYvByCSrWWyTuxIrPRdVigRUwvZISMq,srMacdwGAWAZjbsDcWoiLgKorhqXXkBaqxeZrIFKknQlzGqhkHVkxPFjgSPBWtqiSzwgCyIPmUPWsEQWqEqCBbhTAvQpPqemkKdU,PA,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-08-03 00:18:44,GATES,Material,,qrziByHZVfGSwJjwLumQfJNlwXGmeqYEsSRpCutlIFEHoyALZgcCYlDLijwkDWYHtrmRGQLxrguoDpvxLTatcUwwyucdNdncimOv,kCLqbkLCHFsmExMORmvChgPCVXycWrkANfajRuhlhMPznsfUWiwFATHGFTgDEucJXdPmVSplNecpOEtimYoJQoWJtpUhiXVvHoFa,EH,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-28 00:12:13,GATES,Material,,jPsRxONdDfSNLtNVgmxQHKjsbMkqNkAqqahYctOuvmGCeRMdUFJtpnlzwzLbyHfMrGeUveXkgTxWgpiSzoyHIrroBGpUHRQNKvBA,gIXMBoKGqQkoOGdsucsuCKuYuxySyRCLFFQRGgmIFwOkmBAxFLmEmpEeUDqowLrlQwPvEcNDKDHPAxXXOzoGBJgFjmTntBVRJqYS,VY,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-06-18 16:12:43,GATES,Material,,tDAdxNBoGMRWHCmQrLBhaEEjmgolbEynZEjnJrHijPOnIFgELWhKgDYCVayvpPhekrTktmihBdTJonnpCwZvNEaSHjNBLSVXrKNe,GzrbFbbQcIbvxSXbepfuCRbUrfveQqdmEythzmLSRPmWhDHpxorppqOwcFWIRvYgfAZqtygeCZGXolloxSlyeiAPWzdNvevIgTAg,WC,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-20 03:19:04,GATES,Material,,ogOevSdQCsENXywXfaPbimiSQgHPdwVfUJoWzEnNYZmerjBNonFVHRQtTsGHHZjgdOIUFFehJBtdvUHzuiNTvLvmVfQkEdcdQZUV,MfYUJPcqYJbJcFkRQWpkEGDhgQMeSsHYEeAswRdHJrjKRJJcthFwdvLKUprsdrILqoeifHtbFaTrtuLCbRnpqaWCcpVYOBGZAACy,HL,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-05-29 16:41:04,GATES,Material,,MmWNHpwjYQmcrnVcHSropPvkAfiuKMdLMVMUAfVuwUccFilgcUJyJnWUtAMKicAhEBpaMbLBaOhuESRreUgTlJmhMhpSNeDbAHAA,JooGcsenKtLZkXoTDurMfVVjAhZbpfeBoOOqYkfomOTjBebQYXrfXqANBiJDovLqyRKhXeSKXxdVeSiiclhgKoWYpDKRfKLncKaY,XP,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-02-14 02:54:15,GATES,Material,,PlRSBGkrCjEhNYXukvDMjrAYWfuEoNlatGEscSrWvEsOrdRdRBbCaBqSzVpUomLVvUOMFKEtjnKjPWhGgveeSsnGCHekkPAQIEBl,BYFJyVEdcfnztMDeEwdWMpCZuwKcLSvDSvPHonLQrGrjTtbZMCBxtZLdXXyzopBLUiPkZOMLkgCcRBwBbYouWBNonSRtTTYkdTTG,BC,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-04-03 23:37:29,GATES,Material,,FSETeothXeMBSEJhjujgseNYzxIcWWvtbwvzFcGyRkPkeYqyLqWFLSyVLcOFTHftgWSNfQzdEPREtTXOsGMujkYpwwpUrQzvfOsd,yhxkFDTJPnisxzzMdSbJdakLVAcVlBUQSlfDeNjFVICMUNKHYeiyIaxscmFxcvXqDZHdQxhDrhqsaykxkKcmDsDtKwFNYYmNbElp,FI,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2024-12-22 08:03:44,GATES,Material,,RHbWpgOQZmWyyPuqiGCGkdTZQMCUsVINHukfZYgWjrFUkSlBnCTuRgYnjybJBScbVXoUHserbgiHzPFDDDGCDugbyiMmrZLSflhR,rFCICQGnyrUMrmoRUsVtonPYfxYpsXaRSszmvzpxxoamgXEzXhGtVfzTrZMpBLNuXWrGupBFxDaKoMfpEQguBZCOQqiHFNjtoXdB,TQ,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-08-22 08:16:58,GATES,Material,,KLOGDUBMOClVPKgXUSsnJfWKfGjhdcQSyuSqrYomTpDbuzykhTLTwTPuEZibfBgPbvkgzeslsMAllsPVBXhuWBDUzCDRpJeLOSAY,nsUTuYXnyfyzdrRnVuxFGKUGrIpLosGENncSTwLsOxWqRvrqUftWBVwYcWmddFWhxBophuScDjppveaLwoqKOpTLJbtMsQFbTlOu,BE,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-11-02 00:27:49,GATES,Material,,msDOSxkvaxfaFVSWMAKqKoVgBFnklIwbPfvkXrXSuKzHkmjhicThJpKcVZbwZqhmiHilIxonoAVoIwYAZbDTPhmElRUecVYhnzTa,JPrpfRhWwXdlchlKhuWplSfLvOcPAklirPKmhPCJrXPNcrkyMCqEOekFVbLYYxwpbgikqdTNsVsVruwcZfekTBbtIUQoblJjXgFn,VD,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
MATE---2025---000013,2025-03-15 02:47:01,GATES,Material,,eidxVefNKmGMIuhgfRCGYtPdMoKGRJKeSMZZYyNIYWQMsBMzKIsZgwEbCRoFvWLZZYIdIBHMQWQzVXDSJDXrezzIVUphmDPmITAM,GlVNeapaYAiRFoPCfsGMJjkLOJBNLnvKqsHCAJBnFlTjBxNrMcdbRhjNlssnfkEdZyWwiuaFgmTKNRtEJCdgUBJnvaFNIxHxJpYA,KS,,Creation,,,,,,,,,0 SaveDraft,Open,,,,
